"RECNUM","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"250520000000",65,64,1,2,2,2
"250524000000",47,48,1,2,2,0
"250527000000",52,NA,3,2,99,3
"250531000000",52,NA,3,7,99,3
"250531000000",52,NA,3,7,99,3
"250549000000",74,52,1,1,1,0
"250556000000",67,NA,3,1,99,0
"250567000000",49,51,1,7,7,0
"250591000000",63,NA,3,1,99,1
"250596000000",54,51,1,1,1,0
"250598000000",49,NA,3,1,99,0
"250603000000",38,36,1,2,2,2
"250613000000",45,52,1,1,1,0
"250620000000",41,46,1,1,1,0
"250620000000",62,NA,3,7,99,3
"250637000000",69,71,1,1,1,0
"250643000000",53,NA,3,2,99,0
"250647000000",53,NA,3,2,99,0
"250647000000",47,50,1,7,7,0
"250650000000",60,NA,3,2,99,0
"250661000000",51,NA,3,1,99,0
"250664000000",53,NA,3,1,99,0
"250670000000",59,57,1,1,1,0
"250681000000",38,NA,3,2,99,9
"250693000000",58,60,1,2,2,3
"250694000000",45,45,1,1,1,0
"250809000000",59,NA,3,2,99,0
"250820000000",60,NA,3,2,99,3
"250823000000",48,NA,3,7,99,0
"250834000000",43,43,1,1,1,0
"250838000000",53,NA,3,2,99,0
"250843000000",54,51,1,1,1,0
"250850000000",38,NA,3,2,99,9
"250855000000",46,47,1,2,2,0
"250856000000",55,55,1,1,1,0
"250871000000",69,70,1,1,1,0
"250872000000",49,NA,3,1,99,0
"250876000000",49,45,1,1,1,1
"250878000000",42,NA,3,2,99,2
"250899000000",62,60,1,2,2,3
"250916000000",44,44,1,1,1,9
"250918000000",47,NA,4,7,99,0
"250918000000",31,NA,3,2,99,0
"250918000000",31,NA,3,2,99,0
"250945000000",NA,NA,NA,99,99,9
"250951000000",52,43,1,7,7,2
"250952000000",55,56,1,2,2,3
"250956000000",41,41,1,7,7,0
"250956000000",40,41,1,7,7,0
"250959000000",40,NA,3,5,99,2
"250965000000",63,NA,3,1,99,0
"250984000000",45,NA,3,2,99,0
"250990000000",74,52,1,1,1,0
"250996000000",58,60,1,2,2,3
"251101000000",71,65,1,1,1,1
"251121000000",78,NA,3,7,99,2
"251140000000",55,NA,3,2,99,3
"251142000000",65,NA,3,1,99,0
"251147000000",41,NA,3,2,99,0
"251149000000",50,NA,3,7,99,3
"251151000000",51,NA,3,2,99,0
"251151000000",51,NA,3,2,99,0
"251158000000",51,62,2,7,7,2
"251193000000",44,49,1,1,1,0
"251199000000",66,NA,3,7,99,0
"251204000000",34,NA,3,1,99,0
"251210000000",57,NA,3,2,99,0
"251223000000",67,NA,3,2,99,3
"251225000000",44,44,1,1,1,0
"251236000000",53,NA,3,2,99,0
"251237000000",41,46,1,1,1,0
"251242000000",73,70,1,1,1,0
"251244000000",34,36,1,1,1,1
"251251000000",43,NA,3,2,99,0
"251253000000",78,NA,3,7,99,0
"251261000000",60,NA,3,2,99,9
"251264000000",68,66,2,1,1,1
"251270000000",32,NA,3,1,99,0
"251275000000",NA,NA,NA,99,99,9
"251283000000",48,NA,3,2,99,0
"251291000000",53,NA,3,2,99,0
"251293000000",50,50,1,1,1,0
"251299000000",53,42,1,2,2,3
"251301000000",41,40,1,1,1,9
"251315000000",49,NA,3,2,99,0
"251319000000",54,NA,3,2,99,0
"251321000000",50,50,1,1,1,1
"251321000000",54,NA,3,2,99,0
"251322000000",47,NA,3,2,99,0
"251322000000",47,NA,3,2,99,0
"251327000000",57,NA,3,2,99,0
"251334000000",60,58,1,1,1,0
"251343000000",29,29,1,1,2,9
"251349000000",67,NA,3,1,99,0
"251371000000",63,53,1,1,2,0
"251383000000",44,NA,3,1,99,0
"251384000000",37,40,1,1,1,0
"251385000000",57,NA,3,2,99,3
"251393000000",54,57,1,1,1,0
"251402000000",33,34,1,1,1,1
"251412000000",28,NA,4,7,99,9
"251424000000",54,57,1,1,1,0
"251426000000",43,43,1,1,1,0
"251430000000",NA,NA,NA,99,99,9
"251439000000",33,NA,3,2,99,0
"251449000000",69,NA,3,2,99,0
"251469000000",47,45,1,1,1,0
"251474000000",69,NA,3,2,99,0
"251475000000",37,NA,3,2,99,0
"251477000000",58,62,1,7,7,3
"251477000000",NA,NA,NA,99,99,9
"251488000000",57,58,2,99,99,9
"251493000000",53,NA,3,2,99,0
"251494000000",63,69,1,2,2,0
