"RECNUM","SEX","AGYSPNDS","AgeAtAdopt","ChildRace","BioMomAgeAtBirth","MOMARRD","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"241706000000",2,2,17,1,19,2,40,39,1,1,1,0
"241734000000",1,2,17,2,23,1,46,47,1,5,1,3
"241800000000",1,2,17,1,23,3,39,41,1,1,3,0
"241824000000",2,2,17,1,34,1,39,42,1,1,1,0
"241832000000",1,2,17,2,33,3,57,58,2,99,99,9
"241839000000",1,2,17,1,23,3,61,58,1,1,1,0
"241881000000",2,1,18,2,NA,2,45,NA,3,7,99,3
"241884000000",1,2,20,2,31,2,58,NA,3,2,99,0
"241903000000",1,1,18,1,32,2,53,NA,3,1,99,0
"241918000000",1,1,18,99,18,2,43,NA,4,1,99,9
"241919000000",1,2,17,1,28,2,47,48,1,1,1,0
"241927000000",1,2,16,1,19,2,80,NA,3,2,99,2
"241954000000",1,2,17,6,29,2,54,NA,3,2,99,3
"241959000000",1,2,18,1,20,3,38,NA,4,1,99,0
"241968000000",1,2,17,2,31,3,55,NA,3,99,99,9
"241979000000",2,2,17,7,30,2,64,NA,3,7,99,0
"242048000000",2,2,17,2,25,2,53,NA,3,2,99,0
"242052000000",1,2,16,1,NA,1,57,NA,3,1,99,0
"242059000000",1,2,16,2,24,1,46,47,1,1,1,1
"242070000000",2,2,17,2,12,3,55,NA,3,99,99,9
"242070000000",1,2,17,99,18,2,76,NA,3,2,99,9
"242086000000",2,2,16,1,28,1,60,58,1,1,1,0
"242089000000",1,2,16,1,NA,2,41,NA,3,1,99,0
"242125000000",1,2,18,2,23,2,51,NA,3,2,99,0
"242133000000",1,2,16,1,20,1,54,54,1,1,1,0
"242135000000",2,2,18,2,24,3,39,NA,3,2,99,0
"242139000000",1,2,16,1,31,2,53,55,1,1,1,0
"242146000000",1,2,16,1,23,2,43,38,1,1,1,0
"242147000000",1,1,16,2,28,2,64,NA,3,2,99,0
"242162000000",1,2,16,1,37,1,52,NA,4,1,99,0
"242173000000",2,2,16,1,26,2,44,44,1,1,1,0
"250100000000",1,2,13,1,20,1,66,NA,4,1,99,0
