"RecNumbr","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"251282000000",33,NA,3,7,NA,NA
"251391000000",45,NA,1,1,NA,NA
"251469000000",NA,NA,NA,NA,NA,NA
"251488000000",58,57,NA,2,2,0
"251497000000",43,NA,3,1,NA,0
"251510000000",71,NA,3,2,NA,0
"251554000000",45,33,3,2,2,0
"251579000000",59,NA,3,7,NA,NA
"251649000000",67,NA,NA,2,NA,0
"251811000000",37,41,NA,2,2,0
"251820000000",47,NA,3,2,NA,0
"251834000000",57,NA,2,2,NA,0
"251955000000",31,47,1,1,1,0
"252004000000",NA,NA,NA,NA,NA,NA
"252041000000",55,NA,NA,2,NA,NA
"252053000000",NA,NA,NA,NA,NA,NA
"252090000000",NA,NA,NA,NA,NA,NA
"252161000000",NA,NA,NA,NA,NA,NA
"252209000000",49,50,1,1,1,0
"252212000000",37,37,1,1,1,9
"252220000000",NA,NA,NA,NA,NA,NA
"252221000000",NA,NA,NA,NA,NA,NA
"252222000000",52,NA,2,2,NA,0
"252222000000",NA,NA,NA,NA,NA,9
"252224000000",39,41,1,1,1,0
"252231000000",53,NA,NA,1,NA,0
"252234000000",NA,NA,NA,NA,NA,9
"252237000000",29,NA,3,1,NA,NA
"252251000000",64,NA,NA,7,NA,0
"252258000000",72,NA,3,7,NA,NA
"252258000000",NA,NA,NA,NA,NA,NA
"252259000000",53,NA,1,2,NA,0
"252260000000",39,51,1,2,2,0
"252271000000",72,NA,3,2,NA,0
"252278000000",45,46,NA,1,1,1
"252300000000",NA,NA,1,NA,NA,NA
"252308000000",NA,NA,NA,NA,NA,NA
"252327000000",45,45,2,7,2,0
"252344000000",38,42,2,1,1,0
"252347000000",64,62,1,2,2,0
"252347000000",64,62,1,2,2,0
"252350000000",58,NA,NA,2,NA,0
"252389000000",57,NA,4,2,NA,0
"252411000000",56,NA,NA,2,NA,0
"252412000000",35,NA,NA,2,NA,NA
"252421000000",NA,NA,NA,NA,NA,NA
"252429000000",51,NA,3,2,NA,0
"252444000000",NA,NA,NA,NA,NA,NA
"252452000000",59,NA,NA,2,NA,0
"252455000000",52,NA,1,7,NA,NA
"252492000000",44,NA,3,2,NA,NA
"252496000000",NA,NA,NA,NA,NA,NA
"252497000000",59,66,1,7,7,0
"252527000000",49,NA,2,2,NA,0
"252567000000",39,41,1,2,2,0
"252574000000",NA,NA,NA,NA,NA,NA
"252607000000",NA,NA,3,NA,NA,NA
