"RecNumbr","SEX","CLINDIS","AgeAtEnd","RaceEthn","P1AgeAtBirth","CTKFAMST","TOTALREM","NUMPLEP","MANREM","RemRsnChil","IsTPR","ado","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"260873000000",2,1,17,2,22,3,1,2,2,0,1,0,NA,NA,NA,NA,NA,NA
"260969000000",1,1,16,99,48,3,1,1,1,1,1,1,59,NA,4,2,NA,9
"261206000000",2,1,18,1,30,4,1,1,2,0,1,1,48,50,1,4,4,2
"261424000000",1,1,17,99,30,3,1,2,2,0,0,0,49,NA,NA,7,NA,9
"261448000000",1,1,17,99,47,3,2,1,2,0,0,0,28,NA,1,7,NA,9
"261538000000",2,2,17,99,NA,NA,1,2,2,0,1,0,31,31,3,4,4,9
"261800000000",1,1,17,2,49,4,1,1,2,0,0,0,45,NA,3,2,NA,0
"262375000000",2,2,17,1,18,2,1,2,2,0,1,1,43,43,1,1,1,0
"262375000000",1,1,17,4,26,2,1,8,2,1,1,0,86,NA,NA,2,NA,NA
"262608000000",1,1,17,2,23,4,1,3,2,0,1,0,51,NA,NA,7,NA,NA
"241919000000",1,1,17,1,28,3,2,6,2,0,1,1,35,37,1,1,1,0
"241925000000",1,1,17,1,20,1,1,6,2,0,1,0,NA,NA,NA,NA,NA,NA
"241927000000",1,2,16,1,19,2,1,1,2,0,1,1,80,NA,3,2,NA,NA
"241941000000",2,2,17,1,NA,NA,1,3,2,1,1,0,NA,NA,NA,NA,NA,NA
"241946000000",1,1,17,1,NA,NA,1,21,2,0,1,0,NA,NA,NA,NA,NA,NA
"241952000000",1,2,17,1,20,1,2,3,2,1,1,0,NA,NA,NA,NA,NA,NA
"241959000000",1,1,17,1,29,3,2,4,2,0,1,0,52,52,1,1,1,0
"241960000000",2,1,17,2,28,3,2,11,2,0,0,0,NA,NA,NA,NA,NA,NA
"241972000000",1,1,17,2,NA,5,1,13,2,0,1,0,NA,NA,NA,NA,NA,NA
"241977000000",2,2,17,1,NA,NA,1,9,2,0,1,0,NA,NA,NA,NA,NA,NA
"241978000000",2,1,17,2,26,1,2,3,2,0,0,0,NA,NA,NA,NA,NA,NA
"241980000000",2,2,17,2,19,3,5,18,2,0,1,0,NA,NA,NA,NA,NA,NA
"242007000000",2,2,17,1,32,2,1,2,2,0,0,0,35,37,NA,1,1,0
"242035000000",1,2,17,7,22,3,1,6,2,0,1,0,NA,NA,NA,NA,NA,NA
"242035000000",1,1,17,2,39,3,2,2,2,1,1,0,55,NA,3,2,NA,0
"242040000000",1,1,17,1,23,3,1,9,NA,NA,1,0,58,NA,3,1,NA,0
"242048000000",2,2,17,2,NA,5,2,2,2,1,1,1,53,NA,3,2,NA,0
"242051000000",2,2,16,1,33,3,1,3,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"242052000000",1,1,16,1,NA,NA,1,2,2,0,1,1,56,NA,3,1,NA,0
"242058000000",1,1,17,2,38,3,1,5,2,0,1,0,NA,NA,NA,NA,NA,NA
"242059000000",1,1,16,2,24,1,1,5,2,0,1,1,46,47,3,4,1,1
"242061000000",1,1,17,7,34,2,2,2,2,0,1,0,NA,NA,NA,NA,NA,NA
"242070000000",1,1,17,99,18,3,1,2,2,0,1,1,76,NA,3,2,NA,9
"242075000000",2,2,17,1,24,1,1,2,2,0,1,0,NA,NA,NA,NA,NA,NA
"242077000000",1,2,16,1,38,2,1,1,2,0,1,0,50,47,NA,1,1,0
"242078000000",1,2,17,2,9,2,4,2,NA,NA,1,0,46,45,1,1,1,1
"242080000000",2,1,17,2,22,3,2,2,2,0,1,0,39,NA,3,2,NA,0
"242083000000",2,1,17,2,23,2,2,6,2,0,0,0,NA,NA,NA,NA,NA,NA
"242084000000",2,1,17,1,29,4,2,4,2,1,1,0,NA,NA,NA,NA,NA,NA
"242086000000",2,1,16,1,23,1,1,1,2,0,1,1,57,59,1,1,1,0
"242089000000",1,1,16,1,NA,NA,1,4,2,0,1,1,34,NA,3,1,NA,0
"242097000000",2,1,17,2,17,3,1,2,2,0,1,0,37,NA,NA,1,NA,NA
